,address,city,zipcode,Home_sqft,lot_size,sold_price,ppsf
0,3551 Meier St,Los Angeles,90066,1384,7540,2358000,1703.757225433526
1,4259 Michael Ave,Los Angeles,90066,1532,4713,1975000,1289.1644908616188
2,3262 Cabrillo Blvd,Los Angeles,90066,1597,5641,1900000,1189.7307451471509
3,4041 East Blvd,Los Angeles,90066,1393,17023,2412500,1731.8736539842068
4,4169 Mildred Ave,Culver City,90066,2579,5602,2855000,1107.0182241178752
5,4367 Stewart Ave,Los Angeles,90066,1491,6652,1775000,1190.4761904761904
6,13136 Rose Ave,Los Angeles,90066,1153,6748,685500,594.5359930615784
7,2125 Walgrove Ave,Los Angeles,90066,992,5807,1400000,1411.2903225806451
8,13340 W Washington Blvd,Culver City,90066,1636,8002,1140000,696.8215158924205
9,12727 Mitchell Ave Apt 111,Los Angeles,90066,1429,13952,1088000,761.3715885234429
10,3106 Inglewood Blvd,Los Angeles,90066,2678,5419,2120000,791.6355489171024
11,3536 Redwood Ave,Los Angeles,90066,1770,4900,2300000,1299.4350282485875
12,4510 Grand View Blvd,Los Angeles,90066,1156,5400,1375000,1189.4463667820069
13,13035 Rose Ave,Los Angeles,90066,1683,6721,2000000,1188.3541295306002
14,3557 S Barrington Ave,Los Angeles,90066,936,5802,1500000,1602.5641025641025
15,3968 Inglewood Blvd Apt 1,Los Angeles,90066,1629,6932,847000,519.950890116636
16,4411 Westlawn Ave,Los Angeles,90066,2323,6651,2486500,1070.3831252690486
17,3525 McLaughlin Ave,Los Angeles,90066,1871,6207,2260000,1207.910208444682
18,12833 Gilmore Ave,Los Angeles,90066,1280,4580,1425000,1113.28125
19,12206 Malone St,Los Angeles,90066,3407,8485,3125000,917.2292339301438
20,4130 McLaughlin Ave,Culver City,90066,1828,6004,1930000,1055.7986870897155
21,3711 Barry Ave,Los Angeles,90066,3030,5571,2801200,924.4884488448845
22,4040 Grand View Blvd Unit 14,Los Angeles,90066,841,124451,800000,951.2485136741974
23,4232 McLaughlin Ave,Culver City,90066,2020,6003,1300000,643.5643564356436
24,11870 Washington Pl Apt 201,Los Angeles,90066,1299,22638,923000,710.5465742879138
25,3476 Rosewood Ave,Los Angeles,90066,1264,4902,1515000,1198.5759493670887
26,12421 Preston Way,Los Angeles,90066,2000,5946,2152000,1076.0
27,3657 Sawtelle Blvd,Los Angeles,90066,1042,6390,1550000,1487.5239923224567
28,11422 McCune Ave,Los Angeles,90066,2450,4800,2210000,902.0408163265306
29,13200 Lake St,Los Angeles,90066,1152,5850,1538000,1335.0694444444443
30,12660 Palms Blvd,Los Angeles,90066,2246,7083,1850000,823.686553873553
31,3554 Sawtelle Blvd,Los Angeles,90066,762,2234,750000,984.2519685039371
32,12452 Sanford St,Los Angeles,90066,2057,5018,1685000,819.1541079241614
33,4035 Michael Ave,Los Angeles,90066,3000,5502,3300000,1100.0
34,3560 Greenwood Ave,Los Angeles,90066,2687,4902,3175000,1181.61518422032
35,3958 Coolidge Ave,Los Angeles,90066,1412,5009,1695000,1200.4249291784702
36,4347 Lyceum Ave,Los Angeles,90066,1259,5502,1318000,1046.8625893566323
37,11818 Courtleigh Dr Apt 203,Los Angeles,90066,1308,8019,865000,661.3149847094801
38,Ave,Los Angeles,90066,1758,6791,1175000,668.3731513083048
39,3604 Beethoven St,Los Angeles,90066,2310,5693,1695000,733.7662337662338
40,3965 Moore St Apt 105,Los Angeles,90066,1570,17080,1120000,713.375796178344
41,12513 Washington Pl,Los Angeles,90066,690,3377,210000,304.3478260869565
42,3965 Moore St # 2,Los Angeles,90066,1460,17083,1120000,767.1232876712329
